BHK,Rent,Size,Area Type,Furnishing Status,Tenant Preferred,Bathroom,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Floor Number,Total Floors
-0.10077300633003887,10000,0.20896049655251248,2,2,1,0.03859398770572777,0,0,0,1,0,-0.5975306027617674,-0.5248493491979562
-0.10077300633003887,20000,-0.2641245073058268,2,1,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.4192117320947543
-0.10077300633003887,17000,0.05126549526639938,2,1,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.4192117320947543
-0.10077300633003887,10000,-0.2641245073058268,2,2,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-0.10077300633003887,7500,-0.18527700666277028,1,2,0,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-0.10077300633003887,7000,-0.579514509878053,2,2,1,0.03859398770572777,0,0,0,1,0,-0.5975306027617674,-0.6304869663011581
-0.10077300633003887,10000,-0.4218195085919399,2,2,0,0.03859398770572777,0,0,0,1,0,-0.5975306027617674,-0.31357411499155247
-1.3024531270394974,5000,-1.1314470143794488,2,2,0,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-0.10077300633003887,26000,-0.2641245073058268,1,2,0,0.03859398770572777,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-0.10077300633003887,10000,0.05126549526639938,1,1,1,0.03859398770572777,0,0,0,1,0,-0.42411408954050234,-0.4192117320947543
1.1009071143794198,25000,0.36665549783862555,1,1,1,0.03859398770572777,0,0,0,1,0,-0.42411408954050234,-0.31357411499155247
-1.3024531270394974,5000,-0.8949045124502792,1,2,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.6304869663011581
-1.3024531270394974,6500,-1.1314470143794488,1,0,0,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.31357411499155247
-1.3024531270394974,5500,-0.9343282627718075,1,2,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
1.1009071143794198,8500,-0.10642950601971371,1,2,0,0.03859398770572777,0,0,0,1,0,-0.5975306027617674,-0.5248493491979562
1.1009071143794198,40000,0.5022731989446828,1,0,1,0.03859398770572777,0,0,0,1,0,-0.42411408954050234,-0.6304869663011581
-0.10077300633003887,6000,-0.579514509878053,2,1,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-0.10077300633003887,10000,-0.2641245073058268,2,2,1,-1.092066911376893,0,0,0,1,0,-0.5975306027617674,-0.5248493491979562
-0.10077300633003887,11000,1.6282155081275302,1,2,1,-1.092066911376893,0,0,0,1,0,-0.5975306027617674,-0.4192117320947543
-0.10077300633003887,6000,-0.4848975091063851,2,2,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-0.10077300633003887,7900,-0.5006670092349964,1,2,2,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-0.10077300633003887,9000,-0.8949045124502792,1,2,0,0.03859398770572777,0,0,0,1,0,-0.2506975763192372,-0.4192117320947543
-1.3024531270394974,4000,-1.0525995137363924,1,2,1,-1.092066911376893,0,0,0,1,0,-0.5975306027617674,-0.31357411499155247
1.1009071143794198,6500,0.9974355029830779,2,2,1,-1.092066911376893,0,0,0,1,0,-0.5975306027617674,-0.5248493491979562
-1.3024531270394974,8000,-0.8949045124502792,2,1,0,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-0.10077300633003887,7000,0.05126549526639938,2,2,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.6304869663011581
-1.3024531270394974,5300,-0.9658672630290301,1,1,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.6304869663011581
-0.10077300633003887,6000,0.05126549526639938,2,1,1,-1.092066911376893,0,0,0,1,0,-0.5975306027617674,-0.4192117320947543
-0.10077300633003887,8500,-0.2641245073058268,2,2,1,-1.092066911376893,0,0,0,1,0,0.09613545012329293,-0.2079364978883506
-0.10077300633003887,12500,-0.18527700666277028,2,2,1,0.03859398770572777,0,0,0,1,0,-0.5975306027617674,-0.5248493491979562
-1.3024531270394974,7500,-0.9737520130933357,1,2,1,-1.092066911376893,0,0,0,1,0,-0.5975306027617674,-0.5248493491979562
-0.10077300633003887,15000,-0.10642950601971371,1,2,1,0.03859398770572777,0,0,0,1,0,-0.5975306027617674,-0.5248493491979562
-0.10077300633003887,6000,-0.6583620105211095,2,1,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.6304869663011581
-0.10077300633003887,5000,-0.7372095111641661,1,2,1,0.03859398770572777,0,0,0,1,0,-0.5975306027617674,-0.5248493491979562
1.1009071143794198,22000,0.20896049655251248,1,2,1,-1.092066911376893,0,0,0,1,0,-0.2506975763192372,-0.4192117320947543
-0.10077300633003887,15000,-0.18527700666277028,1,1,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-0.10077300633003887,12500,-0.2641245073058268,1,2,0,-1.092066911376893,0,0,0,1,0,-0.2506975763192372,-0.5248493491979562
-0.10077300633003887,7000,-0.5322060094922191,1,2,0,-1.092066911376893,0,0,0,1,0,-0.5975306027617674,-0.4192117320947543
-0.10077300633003887,21000,-0.10642950601971371,1,1,0,0.03859398770572777,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
-1.3024531270394974,10000,-1.0999080141222262,1,1,1,-1.092066911376893,0,0,0,1,0,-0.42411408954050234,-0.5248493491979562
